Region_ID,X,Y
0,4.002568688865766,14.69526473562152
0,4.248350285119668,14.942931335227271
0,4.52924353798127,15.226841827458255
0,4.704801821019772,15.450345831980517
0,4.821840676378773,15.601362051252318
0,4.938879531737774,15.782581514378478
0,5.4889621519250795,15.643646592648421
0,6.214603055150885,15.51679296846011
0,6.764685675338191,15.462427129522261
0,7.303064409989595,15.468467778293133
0,7.958482000000002,15.498671022147494
0,8.309598566077003,15.438264534438774
0,8.637307361082208,15.166435339749535
0,8.251079138397504,14.924809388914655
0,7.045578928199793,14.628817599141927
0,5.68792820603538,14.568411111433207
0,4.751617363163373,14.550289165120592
