# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Feb 11 16:21:13 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0054091 -0.45000 10.07918 0.5500000119 2.2836582633    0.550 -1.076  3.6211  4.690    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -6.43e-15      0.00 7.672e-01 2.279e-01 8.796e-04 2.375e-04 2.155e-03 -1.000 4.898e-03 7.459 9.501 9.020 8.337 7.857 7.540 6.852 6.755
0.0054091 -0.45000 10.07918 0.5999999642 2.3211212854    0.600 -0.877  3.6533  4.658    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-14      0.00 7.719e-01 2.232e-01 8.646e-04 2.335e-04 2.119e-03 -1.000 4.820e-03 6.962 8.573 8.162 7.575 7.169 6.883 6.325 6.247
0.0054091 -0.45000 10.07918 0.6259669662 2.3378848318    0.626 -0.771  3.6715  4.644    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-14      0.00 7.743e-01 2.209e-01 8.571e-04 2.315e-04 2.101e-03 -1.000 4.785e-03 6.699 8.083 7.703 7.171 6.811 6.548 6.047 5.978
0.0054091 -0.45000 10.07918 0.6499999166 2.3520352771    0.650 -0.677  3.6878  4.631    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-14      0.00 7.765e-01 2.188e-01 8.502e-04 2.297e-04 2.085e-03 -1.000 4.752e-03 6.462 7.679 7.319 6.829 6.506 6.264 5.800 5.738
0.0054091 -0.45000 10.07918 0.6599152684 2.3575291551    0.660 -0.638  3.6938  4.623    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-14      0.00 7.776e-01 2.177e-01 8.465e-04 2.287e-04 2.076e-03 -1.000 4.731e-03 6.366 7.526 7.175 6.699 6.388 6.153 5.702 5.642
0.0054091 -0.45000 10.07918 0.6742708087 2.3651549326    0.674 -0.582  3.7025  4.611    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-14      0.00 7.793e-01 2.160e-01 8.410e-04 2.272e-04 2.063e-03 -1.000 4.684e-03 6.226 7.312 6.971 6.514 6.221 5.996 5.561 5.504
0.0054091 -0.45000 10.07918 0.6882083416 2.3722097116    0.688 -0.528  3.7108  4.599    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.809e-01 2.144e-01 8.356e-04 2.258e-04 2.050e-03 -1.000 4.665e-03 6.090 7.108 6.778 6.340 6.061 5.847 5.427 5.373
0.0054091 -0.45000 10.07918 0.6999999881 2.3779266974    0.700 -0.482  3.7177  4.588    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-14      0.00 7.823e-01 2.131e-01 8.310e-04 2.246e-04 2.039e-03 -1.000 4.660e-03 5.974 6.941 6.621 6.196 5.929 5.722 5.314 5.262
0.0054091 -0.45000 10.07918 0.7050424814 2.3803044430    0.705 -0.462  3.7206  4.582    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-14      0.00 7.829e-01 2.124e-01 8.276e-04 2.240e-04 2.034e-03 -1.000 4.657e-03 5.924 6.870 6.554 6.135 5.873 5.668 5.265 5.214
0.0054091 -0.45000 10.07918 0.7160503864 2.3853615797    0.716 -0.418  3.7268  4.570    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-14      0.00 7.845e-01 2.110e-01 8.204e-04 2.226e-04 2.023e-03 -1.000 4.592e-03 5.815 6.717 6.410 6.003 5.750 5.552 5.159 5.110
0.0054091 -0.45000 10.07918 0.7265388966 2.3900165117    0.726 -0.376  3.7326  4.557    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-14      0.00 7.859e-01 2.095e-01 8.135e-04 2.213e-04 2.013e-03 -1.000 4.574e-03 5.709 6.573 6.275 5.879 5.634 5.441 5.058 5.010
0.0054091 -0.45000 10.07918 0.7368018031 2.3944241055    0.737 -0.334  3.7381  4.543    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.62e-14      0.00 7.873e-01 2.082e-01 8.069e-04 2.201e-04 2.002e-03 -1.000 4.566e-03 5.605 6.433 6.143 5.758 5.521 5.333 4.958 4.913
0.0054091 -0.45000 10.07918 0.7464485765 2.3984402631    0.746 -0.294  3.7432  4.530    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.75e-15      0.00 7.886e-01 2.069e-01 8.007e-04 2.189e-04 1.992e-03 -1.000 4.539e-03 5.505 6.302 6.021 5.645 5.416 5.232 4.865 4.821
0.0054091 -0.45000 10.07918 0.7494187951 2.3996529124    0.749 -0.282  3.7447  4.525    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.14e-14      0.00 7.890e-01 2.065e-01 7.988e-04 2.186e-04 1.989e-03 -1.000 4.538e-03 5.474 6.262 5.983 5.611 5.383 5.201 4.836 4.793
0.0054091 -0.45000 10.07918 0.7542241216 2.4015915399    0.754 -0.262  3.7469  4.517    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-14      0.00 7.899e-01 2.056e-01 7.960e-04 2.178e-04 1.982e-03 -1.000 4.529e-03 5.425 6.200 5.924 5.555 5.331 5.151 4.790 4.747
0.0054091 -0.45000 10.07918 0.7675241828 2.4068119644    0.767 -0.206  3.7528  4.492    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.83e-14      0.00 7.923e-01 2.032e-01 7.883e-04 2.158e-04 1.964e-03 -1.000 4.463e-03 5.284 6.026 5.759 5.402 5.185 5.010 4.658 4.616
0.0054091 -0.45000 10.07918 0.7801652551 2.4115844705    0.780 -0.151  3.7580  4.465    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.97e-14      0.00 7.947e-01 2.009e-01 7.807e-04 2.138e-04 1.945e-03 -1.000 4.413e-03 5.147 5.859 5.602 5.254 5.043 4.873 4.529 4.489
0.0054091 -0.45000 10.07918 0.7917491198 2.4158043066    0.791 -0.099  3.7626  4.437    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-15      0.00 7.969e-01 1.987e-01 7.737e-04 2.119e-04 1.929e-03 -1.000 4.389e-03 5.017 5.704 5.454 5.115 4.910 4.744 4.407 4.368
0.0054091 -0.45000 10.07918 0.7988376617 2.4183172609    0.798 -0.066  3.7652  4.419    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -7.43e-14      0.00 7.982e-01 1.974e-01 7.695e-04 2.107e-04 1.919e-03 -1.000 4.379e-03 4.935 5.607 5.362 5.028 4.827 4.663 4.330 4.292
0.0054091 -0.45000 10.07918 0.7999420166 2.4187041565    0.799 -0.061  3.7656  4.416    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -7.54e-14      0.00 7.985e-01 1.971e-01 7.686e-04 2.105e-04 1.917e-03 -1.000 4.376e-03 4.922 5.592 5.348 5.015 4.814 4.650 4.318 4.280
0.0054091 -0.45000 10.07918 0.8082904816 2.4215896349    0.807 -0.020  3.7684  4.391    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -8.47e-14      0.00 8.006e-01 1.951e-01 7.621e-04 2.088e-04 1.901e-03 -1.000 4.355e-03 4.820 5.475 5.236 4.908 4.711 4.550 4.222 4.185
0.0054091 -0.45000 10.07918 0.8161104918 2.4242309750    0.815  0.019  3.7707  4.365    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -5.31e-14      0.00 8.025e-01 1.932e-01 7.560e-04 2.071e-04 1.886e-03 -1.000 4.292e-03 4.722 5.363 5.129 4.806 4.611 4.452 4.128 4.092
0.0054091 -0.45000 10.07918 0.8235854506 2.4267019212    0.823  0.057  3.7728  4.339    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -6.82e-14      0.00 8.044e-01 1.913e-01 7.500e-04 2.055e-04 1.872e-03 -1.000 4.264e-03 4.626 5.256 5.026 4.707 4.515 4.358 4.037 4.002
0.0054091 -0.45000 10.07918 0.8307489753 2.4290219970    0.830  0.095  3.7743  4.312    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -8.69e-14      0.00 8.062e-01 1.896e-01 7.445e-04 2.040e-04 1.859e-03 -1.000 4.214e-03 4.533 5.153 4.927 4.612 4.422 4.266 3.948 3.913
0.0054091 -0.45000 10.07918 0.8407975435 2.4321999705    0.840  0.149  3.7761  4.269    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 8.072e-01 1.886e-01 7.415e-04 2.032e-04 1.852e-03 -1.000 4.217e-03 4.397 5.006 4.783 4.472 4.285 4.130 3.815 3.780
