X,Y
0.7935483870967743,-0.44545454545454544
0.864516129032258,-0.40454545454545454
0.9322580645161291,-0.36818181818181817
1.0032258064516129,-0.32500000000000007
1.0774193548387097,-0.2863636363636364
1.1612903225806452,-0.2318181818181818
1.2483870967741937,-0.18409090909090908
1.3548387096774195,-0.12727272727272732
1.4516129032258065,-0.07045454545454555
1.5612903225806452,-0.020454545454545503
1.6741935483870969,0.04318181818181821
1.7548387096774196,0.09090909090909083
1.8516129032258066,0.14318181818181808
1.941935483870968,0.1863636363636363
