X,Y
0.6516129032258065,-0.575
0.7258064516129032,-0.5136363636363637
0.806451612903226,-0.4409090909090909
0.903225806451613,-0.36818181818181817
1.0161290322580645,-0.30454545454545456
1.0967741935483872,-0.25909090909090915
1.2,-0.21363636363636362
1.3,-0.15909090909090917
1.4000000000000001,-0.11363636363636365
1.5,-0.0613636363636364
1.6096774193548389,-0.011363636363636465
1.732258064516129,0.04318181818181821
1.8612903225806454,0.09999999999999987
1.9516129032258067,0.13636363636363624
