X,Y
2.564516129032258,23.204545454545453
2.258064516129033,22.954545454545453
2.053763440860215,22.65909090909091
1.8086021505376348,22.386363636363637
1.5225806451612907,22.0
1.4000000000000004,21.636363636363637
1.2569892473118283,21.272727272727273
1.1956989247311829,20.84090909090909
1.1956989247311829,20.477272727272727
1.2365591397849465,20.09090909090909
1.338709677419355,19.84090909090909
1.481720430107527,19.56818181818182
1.788172043010753,19.363636363636363
2.074193548387097,19.363636363636363
2.3806451612903228,19.386363636363637
2.6258064516129034,19.477272727272727
2.850537634408602,19.636363636363637
3.1161290322580646,19.75
3.4021505376344088,19.75
3.6473118279569894,19.454545454545453
3.8107526881720437,19.204545454545453
3.9537634408602154,18.93181818181818
4.158064516129032,18.636363636363637
4.403225806451613,18.386363636363637
4.587096774193549,18.18181818181818
4.8526881720430115,17.93181818181818
5.0569892473118285,17.659090909090907
5.343010752688173,17.43181818181818
5.731182795698925,17.06818181818182
6.058064516129034,16.795454545454547
6.303225806451613,16.636363636363637
6.589247311827958,16.409090909090907
6.956989247311829,16.136363636363637
7.181720430107528,15.954545454545455
7.529032258064517,15.75
7.855913978494624,15.431818181818182
