Region_ID,X,Y
0,4.294232861602499,19.72903192833952
0,4.588381074401665,19.949037784090912
0,4.756465767429761,20.10793090213358
0,4.868522229448493,20.266824020176255
0,5.316748077523414,20.16293236607143
0,5.933058618626431,20.052929438195736
0,6.6474185639958385,19.997927974257887
0,7.2497220473465145,20.01015052179963
0,7.571884375650365,20.028484343112247
0,7.908053761706556,19.973482879174398
0,7.992096108220604,19.802367213589985
0,7.992096108220604,19.588472631609463
0,7.41780674037461,19.502914798817258
0,6.339263293444329,19.49069225127551
0,5.48483277055151,19.582361357838593
0,4.784479882934445,19.680141738172544
