primary secondary F555W F814W
16 0 19.1855 18.1870
16 1 19.1740 18.1795
16 2 19.1550 18.1677
16 3 19.1223 18.1492
16 4 19.0699 18.1206
16 5 18.9959 18.0767
16 6 18.8946 18.0106
16 7 18.8988 17.9135
16 8 18.7708 17.7754
16 9 18.5999 17.5871
16 10 18.3858 17.3428
16 11 18.1356 17.0420
16 12 17.8423 16.6894
16 13 17.5331 16.2940
16 14 17.2043 15.8656
16 15 16.8600 15.4133
16 16 18.4490 17.4474
16 17 18.3501 17.3428
16 18 18.3015 17.2871
17 0 18.9984 17.9892
17 1 18.9888 17.9829
17 2 18.9727 17.9731
17 3 18.9450 17.9576
17 4 18.9003 17.9336
17 5 18.8367 17.8965
17 6 18.7487 17.8403
17 7 18.7524 17.7567
17 8 18.6398 17.6361
17 9 18.4869 17.4689
17 10 18.2923 17.2474
17 11 18.0606 16.9689
17 12 17.7846 16.6361
17 13 17.4895 16.2567
17 14 17.1719 15.8403
17 15 16.8363 15.3965
17 16 18.3501 17.3428
17 17 18.2594 17.2474
17 18 18.2147 17.1963
18 0 18.9118 17.8901
18 1 18.9028 17.8844
18 2 18.8880 17.8754
18 3 18.8624 17.8613
18 4 18.8209 17.8393
18 5 18.7617 17.8052
18 6 18.6793 17.7534
18 7 18.6828 17.6760
18 8 18.5768 17.5637
18 9 18.4320 17.4065
18 10 18.2462 17.1963
18 11 18.0232 16.9291
18 12 17.7555 16.6067
18 13 17.4672 16.2359
18 14 17.1553 15.8260
18 15 16.8240 15.3870
18 16 18.3015 17.2871
18 17 18.2147 17.1963
18 18 18.1717 17.1474
