primary secondary F275W F336W
16 0 22.0069 20.3147
16 1 21.9419 20.2862
16 2 21.8089 20.2401
16 3 21.6308 20.1671
16 4 21.3836 20.0669
16 5 21.1100 19.9290
16 6 20.8445 19.7770
16 7 21.1917 19.8916
16 8 21.6537 19.8984
16 9 21.6127 19.7934
16 10 21.6088 19.6836
16 11 21.6009 19.5940
16 12 21.6197 19.4851
16 13 21.6711 19.4340
16 14 21.7143 19.4216
16 15 21.7557 19.4096
16 16 21.3072 19.5944
16 17 21.3793 19.5787
16 18 21.3954 19.5544
17 0 22.1486 20.2843
17 1 22.0748 20.2566
17 2 21.9257 20.2117
17 3 21.7291 20.1405
17 4 21.4611 20.0426
17 5 21.1698 19.9076
17 6 20.8911 19.7584
17 7 21.2562 19.8710
17 8 21.7541 19.8776
17 9 21.7092 19.7745
17 10 21.7050 19.6665
17 11 21.6963 19.5783
17 12 21.7170 19.4709
17 13 21.7732 19.4204
17 14 21.8208 19.4082
17 15 21.8666 19.3963
17 16 21.3793 19.5787
17 17 21.4565 19.5631
17 18 21.4738 19.5392
18 0 22.1816 20.2384
18 1 22.1056 20.2118
18 2 21.9525 20.1686
18 3 21.7514 20.1001
18 4 21.4785 20.0057
18 5 21.1830 19.8749
18 6 20.9013 19.7299
18 7 21.2706 19.8393
18 8 21.7769 19.8458
18 9 21.7311 19.7455
18 10 21.7268 19.6402
18 11 21.7180 19.5540
18 12 21.7390 19.4489
18 13 21.7965 19.3994
18 14 21.8451 19.3874
18 15 21.8919 19.3758
18 16 21.3954 19.5544
18 17 21.4738 19.5392
18 18 21.4914 19.5158
